
-------------- ТАБЛИЦА ЛЕКСЕМ  -------------------- Дата: 17.12.2017 12:51:06 ------------ 

|  № | Лексема | Строка | Индекс в ТИ |
-------------- ТАБЛИЦА ЛЕКСЕМ  -------------------- Дата: 17.12.2017 15:47:02 ------------ 

|  № | Лексема | Строка  | Индекс в ТИ |
|  0 |    t    |     1   |             |
|  1 |    f    |     1   |             |
|  2 |    i    |     1   |       0     |
|  3 |    (    |     1   |             |
|  4 |    t    |     1   |             |
|  5 |    i    |     1   |       1     |
|  6 |    )    |     1   |             |
|  7 |    [    |     2   |             |
|  8 |    e    |     2   |             |
|  9 |    l    |     2   |       2     |
| 10 |    ;    |     2   |             |
| 11 |    ]    |     2   |             |
| 12 |    m    |     3   |             |
| 13 |    [    |     4   |             |
| 14 |    i    |     5   |       0     |
| 15 |    (    |     5   |             |
| 16 |    l    |     5   |       3     |
| 17 |    ,    |     5   |             |
| 18 |    l    |     5   |       3     |
| 19 |    ;    |     5   |             |
| 20 |    ^    |     6   |             |
| 21 |    ;    |     6   |             |
| 22 |    ]    |     6   |             |

-------------- ТАБЛИЦА ЛЕКСЕМ  -------------------- Дата: 17.12.2017 15:47:25 ------------ 

|  № | Лексема | Строка  | Индекс в ТИ |
|  0 |    t    |     1   |             |
|  1 |    f    |     1   |             |
|  2 |    i    |     1   |       0     |
|  3 |    (    |     1   |             |
|  4 |    t    |     1   |             |
|  5 |    i    |     1   |       1     |
|  6 |    )    |     1   |             |
|  7 |    [    |     2   |             |
|  8 |    e    |     2   |             |
|  9 |    l    |     2   |       2     |
| 10 |    ;    |     2   |             |
| 11 |    ]    |     2   |             |
| 12 |    m    |     3   |             |
| 13 |    [    |     4   |             |
| 14 |    i    |     5   |       0     |
| 15 |    (    |     5   |             |
| 16 |    l    |     5   |       3     |
| 17 |    ,    |     5   |             |
| 18 |    ;    |     5   |             |
| 19 |    ^    |     6   |             |
| 20 |    ;    |     6   |             |
| 21 |    ]    |     6   |             |

-------------- ТАБЛИЦА ЛЕКСЕМ  -------------------- Дата: 17.12.2017 15:47:32 ------------ 

|  № | Лексема | Строка  | Индекс в ТИ |
|  0 |    t    |     1   |             |
|  1 |    f    |     1   |             |
|  2 |    i    |     1   |       0     |
|  3 |    (    |     1   |             |
|  4 |    t    |     1   |             |
|  5 |    i    |     1   |       1     |
|  6 |    )    |     1   |             |
|  7 |    [    |     2   |             |
|  8 |    e    |     2   |             |
|  9 |    l    |     2   |       2     |
| 10 |    ;    |     2   |             |
| 11 |    ]    |     2   |             |
| 12 |    m    |     3   |             |
| 13 |    [    |     4   |             |
| 14 |    i    |     5   |       0     |
| 15 |    (    |     5   |             |
| 16 |    l    |     5   |       3     |
| 17 |    ,    |     5   |             |
| 18 |    ;    |     5   |             |
| 19 |    ^    |     6   |             |
| 20 |    ;    |     6   |             |
| 21 |    ]    |     6   |             |

-------------- ТАБЛИЦА ЛЕКСЕМ  -------------------- Дата: 17.12.2017 15:47:49 ------------ 

|  № | Лексема | Строка  | Индекс в ТИ |
|  0 |    t    |     1   |             |
|  1 |    f    |     1   |             |
|  2 |    i    |     1   |       0     |
|  3 |    (    |     1   |             |
|  4 |    t    |     1   |             |
|  5 |    i    |     1   |       1     |
|  6 |    )    |     1   |             |
|  7 |    [    |     2   |             |
|  8 |    e    |     2   |             |
|  9 |    l    |     2   |       2     |
| 10 |    ;    |     2   |             |
| 11 |    ]    |     2   |             |
| 12 |    m    |     3   |             |
| 13 |    [    |     4   |             |
| 14 |    i    |     5   |       0     |
| 15 |    (    |     5   |             |
| 16 |    l    |     5   |       3     |
| 17 |    ,    |     5   |             |
| 18 |    l    |     5   |       4     |
| 19 |    ;    |     5   |             |
| 20 |    ^    |     6   |             |
| 21 |    ;    |     6   |             |
| 22 |    ]    |     6   |             |

-------------- ТАБЛИЦА ЛЕКСЕМ  -------------------- Дата: 17.12.2017 15:48:33 ------------ 

|  № | Лексема | Строка  | Индекс в ТИ |
|  0 |    t    |     1   |             |
|  1 |    f    |     1   |             |
|  2 |    i    |     1   |       0     |
|  3 |    (    |     1   |             |
|  4 |    t    |     1   |             |
|  5 |    i    |     1   |       1     |
|  6 |    )    |     1   |             |
|  7 |    [    |     1   |             |
|  8 |    e    |     1   |             |
|  9 |    l    |     1   |       2     |
| 10 |    ;    |     1   |             |
| 11 |    ]    |     1   |             |
| 12 |    m    |     2   |             |
| 13 |    [    |     2   |             |
| 14 |    ^    |     2   |             |
| 15 |    ;    |     2   |             |
| 16 |    i    |     2   |       0     |
| 17 |    (    |     2   |             |
| 18 |    l    |     2   |       3     |
| 19 |    ,    |     2   |             |
| 20 |    l    |     2   |       3     |
| 21 |    ;    |     2   |             |
| 22 |    ^    |     2   |             |
| 23 |    ;    |     2   |             |
| 24 |    ]    |     2   |             |

-------------- ТАБЛИЦА ЛЕКСЕМ  -------------------- Дата: 17.12.2017 15:51:26 ------------ 

|  № | Лексема | Строка  | Индекс в ТИ |
|  0 |    t    |     1   |             |
|  1 |    f    |     1   |             |
|  2 |    i    |     1   |       0     |
|  3 |    (    |     1   |             |
|  4 |    t    |     1   |             |
|  5 |    i    |     1   |       1     |
|  6 |    )    |     1   |             |
|  7 |    [    |     1   |             |
|  8 |    e    |     1   |             |
|  9 |    l    |     1   |       2     |
| 10 |    ;    |     1   |             |
| 11 |    ]    |     1   |             |
| 12 |    m    |     2   |             |
| 13 |    [    |     2   |             |
| 14 |    i    |     2   |       0     |
| 15 |    (    |     2   |             |
| 16 |    l    |     2   |       3     |
| 17 |    ;    |     2   |             |
| 18 |    ]    |     2   |             |

-------------- ТАБЛИЦА ЛЕКСЕМ  -------------------- Дата: 17.12.2017 16:02:41 ------------ 

|  № | Лексема | Строка  | Индекс в ТИ |
|  0 |    t    |     1   |             |
|  1 |    f    |     1   |             |
|  2 |    i    |     1   |       0     |
|  3 |    (    |     1   |             |
|  4 |    t    |     1   |             |
|  5 |    i    |     1   |       1     |
|  6 |    )    |     1   |             |
|  7 |    [    |     1   |             |
|  8 |    e    |     1   |             |
|  9 |    l    |     1   |       2     |
| 10 |    ;    |     1   |             |
| 11 |    ]    |     1   |             |
| 12 |    m    |     2   |             |
| 13 |    [    |     2   |             |
| 14 |    i    |     2   |       0     |
| 15 |    (    |     2   |             |
| 16 |    l    |     2   |       3     |
| 17 |    ,    |     2   |             |
| 18 |    l    |     2   |       3     |
| 19 |    )    |     2   |             |
| 20 |    ;    |     2   |             |
| 21 |    ]    |     2   |             |

